song,year,artist,genre,lyrics
glam-racket-star,2007,fall,Metal,prozac good life bow tyrant rock spain look like one round loch highland contin spirit respons call prozac glam wreck say star give fuck watch head expand run luck feel empti caus babi suck feel empti caus babi suck clean feast someon els caus chariti scene feel noth caus noth make feel shine someon els caus act lost appeal glam racket glam racket glam star racket
hilary,2007,fall,Metal,hilari sixti quid borrow ga give kiss hilari hey hilari new face saturday six brought back hilari sure new audi outsid sainsburi hilari rememb need three cap speed get bed ecstasi hilari daft african pop wine call bull blood hilari thank lord still live next hilari
theme-from-error-orrori,2007,fall,Metal,commerc peac plan wonder long last izzi bizzi boney began wonder long would last chuff cough cold snout letter horror error error horror horror error horror error man prog fanat italian say error orror error orror pleas take free moron give worship shakespear horror error horror error horror error give hybrid give bird moan hypocrit could scare son take shakespear orror orror
r-o-d,2007,fall,Metal,approach 600 pound ga flesh robe tatter approach lip tongu abhorr flicker lexicon stray dog pack leader hide hide good peopl hang result hide dive hide reason peopl silenc exult realm dusk northern look north one brain unhing sun rare stone rare stone come take move armi
elf-prefix,2007,fall,Metal,chief elf norman said gutter sweat splendid droplet string toe cloven teeth squirli pointi knee cup curli ding click ring ear norman jump four corner norman twirl around golden throne whitewal tyre lifetim thought
spoilt-victorian-child,2007,fall,Metal,past tree fairi flyin past tree rose bush child spoilt victorian child spoilt victorian spoilt victorian child sugar cake appear mean sit tabl tiger pop book spoilt victorian child let take ten year look back rough grey blanket thread loos stain grey blanket spoilt victorian child pedia pedia music chair roug cheek rememb thru aqueduct five year spoilt victorian child shall avoid reflect child spoilt victorian spoilt victorian child mirror hid toxic disfigur pox spoilt victorian child past tree fairi flyin past tree rose bush butterfli shrug fli sugar ice cake appear mean child spoilt victorian child spoilt victorian spoilt victorian child pedia know servant keep order knowledg walk footstep steed babe encrust green unwild know spoilt victorian child
i-m-bobby-pt-1,2007,fall,Metal,me want know real band real singer round explain right ahead get ahead pueril slur word rigmarol put lid congeal rest post nearli half realis birdlik thought clog solo seventi new intellectu skinhead morass shad mock whistl honestli professor compet observ scientif brain need math understand chord miss slide back bottom ravin catch freez outsid contain thrash think prescript wait minut need time irrit pay realis dumb keep bird cage screen work away stage cage move comfort leafi suburb green lilac german type hous pale pretenti pseudo arti walk like cross open door began slow palav subtl almost loss ident bright bubbl sizzl split person bobbi voice2 say imit sincerest form flatteri fraction small fraction miss sometim import gave bobbi gave bobbi voic pay today market librari quicksav booz edward latest singl shop tomorrow hot number local quicksav store voic extrem closeup stamp bang loudli giro chequ robert peer photo edward music magazin special effect bobbi thought voic nasti tone reverb loud bang stamp though voic saliva closeup bobbi hazel pick music magazin view hatr pictur lauren showbiz section voic hello yeah alright got right bloodi colour time want hair deep pink voic bobbi hazel examin pictur lauren close voic want lauren voic bang receiv phone cut vidal sassoon salon closeup hand highlight strip hair tint cut extrem closeup lauren face voic got voic hairdress put phone hairdress say hiya lauren voic clonezon tonight six voic hairdress say clonezon great good place get yeah find alright good sound system wear voic cut dream sequenc insid clonezon voic special effect heavi beat jungl techno mix voiceov mark smith reverb echo beat music strobe slow motion black white shot fade beat music cut lauren humbl mode voic femal dirti littl twat remind hello yeah alright got right bloodi colour time want hair deep pink want lauren
new-big-prinz,2007,fall,Metal,rockin record rockin record rock record rockin record guy rock record big priest rockin record rock record rock rock record drink long drink long draught drink long draught big priest drink long draught drink long drink long draught big priest drink long drink long draught drink long draught big priest rock record check record check guy track record check record check guy track record appreci check record check record check guy track record big priest check record check record check guy track record check record check guy rock record appreci drink long draught drink long drink long big priest check record check record check guy track record check record check guy track record appreci rock record rock record rockin record big priest drink long drink long draught drink long draught big priest check record check record check guy track record check record check guy track record appreci rock record rock record rockin record big prinz rockin record rockin record rockin record rockin record rockin record rockin rec rock record
visit-of-an-american-poet-v-1,2007,fall,Metal,visit american poet charact narrat poet wife zarenda employe neighbour policeman evil farc three act almost brian rixish semi cold ridicul scenario me overlap voic thu began slow palav subtl almost unconsci loss ident explain messag room access san francisco voic anoth crook smile music diseas live soap opera time end depress obsess delud goal everyon everi crap commerc everyon without love brought violenc drunk depress work hard endless endless reward 000 owe music music belong music mani shit peopl music yeah mark mark told stori visit american poet came round came round arm nice nice nasti streak turn nasti made hostag hous mark fuck plagiaris fuck black hous quit seriou threat amerian poet karl burn came round went nice cheer said said yeah mark fuck hell yeah bring mate karl came karl would entertain woman markl said stay karl stay tri put messag say come look realis troubl need need need support mate karl total oblivi said money me visit american poet thu began slow palav subtl unconsci loss ident run grow back end year explain begin soft green leav visit took place outsid salem dolphin restaur fish tast peculiar daniel rubbish room beneath gospel group bloodi thick atlanta turn shower pure coincid man motel dawn knock door salem poet second visit act bubbl black larg seafood plate type load problem gate purpl squid less pink thing left wriggl small irrit behind right upper motel balconey poet teacher dress accordingli rememb five view point would even step hous frisco frisco chain gain thompson number two second visit seizur hotel excit face gut wrench hospit cat odour lyserg acid smell smell hallucin delusion mix prescrip stuff dear famili doctor new alia monthli spreadeagl driveway come soon third visit futur visit american poet gothic green goblin gnome cast adrift first mistak let motel frisco underneath harass action taken four eight troop visual ing form atlanta oper left right flank lobbi jetlag main bodi left task confus enemi hors vehicl hotel motel babi crap atlanta religi group upstair melt ceil babi crap brown colour drift bubbl ceil surpris visit second visit second pincer stupid smith clean shaven mind light pink scarlet smooth recepticl second visit time forgot mental ill infecti theori
van-plague,2007,fall,Metal,ocean came plagu via ocean plagu came plagu came around pure tension belief tear great sad came sou west flew plagu northwest plagu came laugh chick frustrat fear plagu sent home love least dear mum father take stride say back closet son ocean brought plagu ocean came plagu plagu came noth death pain heart broken beach love dissolv haitian sun south atlant bring plagu evil ocean brought plagu plagu flew ocean satan tree baboon bodi wast neath gibbou moon rancid kid drown lagoon still blue ocean came plagu caribbean plagu came plagu came satan made friend becam derang secret glamrock gleeful hat stock far corpor glamrock famili leisur zone evil plagu spark built boat put wind grim sail bring plagu peril bring plagu peril
